week,a1c,a2c,mentions,events,avg_sentenceid,avg_a1co,avg_a2co,avg_actco,avg_raw_text,avg_root_event,avg_len,avg_goldstein,avg_tone,avg_confidence,avg_lat1,avg_lon1,avg_lat2,avg_lon2,avg_lata,avg_lona,total_num_mentions,total_num_sources,total_num_articles,pair,Relative_mentions
2016-01-11,CVL,BUS,1198,750,7.219532554257095,2291.0968280467446,2303.4449081803004,2295.517529215359,0.8639398998330551,0.66110183639399,4449.76878130217,1.3289649415692826,-0.2669224718660632,69.29883138564274,31.624675210172747,-26.498379058541264,32.083550571976964,-29.084003070057584,31.82097206909789,-28.21969554318618,51803.0,4229.0,51414.0,CVL -> BUS,0.000781745014091639
2016-01-18,CVL,BUS,1772,704,8.542889390519187,2453.870203160271,2484.8758465011288,2481.6410835214447,0.8837471783295711,0.664785553047404,4450.818284424379,0.968453724604966,-2.2965112437597206,62.25733634311512,31.129677283638678,-51.61478073783952,30.798707163613393,-50.133027696778235,31.081412912192043,-51.38768464560956,268260.0,40770.0,267839.0,CVL -> BUS,0.0011801264573429572
2016-01-25,CVL,BUS,1665,737,9.354354354354355,2656.726126126126,2676.729129129129,2672.291291291291,0.8666666666666667,0.6744744744744745,5911.6498498498495,1.1330330330330334,-0.6778060810263744,66.67267267267268,34.81512262517387,-47.46836538456186,35.050359780945776,-47.631115421418606,35.21064237482617,-47.542791494436685,245021.0,26873.0,244827.0,CVL -> BUS,0.0011636862785662267
2016-02-01,CVL,BUS,1694,820,8.194214876033058,2601.4881936245574,2621.448051948052,2613.8919716646988,0.898465171192444,0.6877213695395513,5509.175324675325,0.9887249114521847,-0.27356342591336524,75.15938606847698,33.93568656327372,-48.751522140990375,33.74620651994497,-48.409800284044,33.69384177647868,-48.35991307909215,344600.0,26591.0,343730.0,CVL -> BUS,0.001154874538629667
2016-02-08,CVL,BUS,1498,729,7.353137516688919,2316.1602136181577,2332.6054739652873,2330.724966622163,0.8991989319092123,0.6201602136181575,4649.7116154873165,1.5881842456608815,-0.3413715645292244,70.34045393858477,33.44995214489312,-37.8609626912114,33.25148474980207,-39.1230974259699,33.36839125811561,-37.34828885906571,125426.0,14513.0,125299.0,CVL -> BUS,0.000935582812506831
2016-02-15,CVL,BUS,1351,720,6.731310140636565,2302.9970392302,2341.884529977794,2330.9089563286457,0.840858623242043,0.765358993338268,4865.273871206514,1.470466321243524,-0.11848680075795148,68.76387860843819,18.712542170286707,1.4895275690703844,18.50110017202433,3.591306361424856,18.489987226759336,2.406947508253702,88663.0,11194.0,88449.0,CVL -> BUS,0.0008198233405100746
2016-02-22,CVL,BUS,2088,867,7.151819923371647,2102.534961685824,2126.9966475095785,2111.397509578544,0.8136973180076629,0.7207854406130269,4269.694923371648,2.24066091954023,-1.1401236202513783,68.93199233716476,19.317721021984227,11.914331535512973,19.0529173692221,11.984377538895155,19.20044611217588,12.153808559188281,470843.0,48420.0,470595.0,CVL -> BUS,0.0013129887157171919
2016-02-29,CVL,BUS,1391,808,7.244428468727534,2127.900071890726,2075.7383177570096,2144.4946081955427,0.8231488138030194,0.6455787203450755,4350.117181883537,2.0108554996405466,-0.47662998250933203,64.29187634795112,29.84852583389262,-19.30882180788591,30.58450919798658,-20.489104265939595,30.785312494966448,-22.814422081375838,46385.0,4928.0,45673.0,CVL -> BUS,0.000904438968250356
2016-03-07,CVL,BUS,1533,768,8.590345727332029,2504.990215264188,2538.206131767776,2522.412263535551,0.868232224396608,0.5903457273320287,4606.388127853881,0.9929549902152647,-0.1425809942724818,62.198303979125896,29.576381852695512,-16.108911008352294,29.355300964312832,-16.02805244115412,29.402752088078962,-15.876068710706132,68947.0,25101.0,68686.0,CVL -> BUS,0.000995216727431367
2016-03-14,CVL,BUS,1816,736,8.75,2896.522026431718,2906.064977973568,2895.446585903084,0.9058370044052864,0.48623348017621143,4704.36178414097,2.231332599118939,-0.5840020875539165,77.38436123348018,32.903446302857176,-53.608091054603115,32.908035128254,-53.61403076063485,32.95869849968257,-53.59111857206343,915160.0,69437.0,914577.0,CVL -> BUS,0.0012661299093908354
2016-03-21,CVL,BUS,1307,675,8.908186687069625,2794.079571537873,2816.4644223412397,2813.9609793420045,0.9074215761285387,0.46748278500382556,5639.2448355011475,0.36870696250956464,-0.4436818647198937,68.54628921193573,33.39708632913669,-44.74517650000001,33.44498174280575,-44.870015328237415,33.63970516906474,-46.30312404496402,132600.0,11951.0,132400.0,CVL -> BUS,0.000917433124600334
2016-03-28,CVL,BUS,1950,764,9.126666666666667,2944.5871794871796,2911.196923076923,2917.074358974359,0.8866666666666667,0.47384615384615386,6321.659487179487,2.033948717948716,-0.05722415905184202,76.47692307692307,33.7004995521542,-49.08889416836734,33.723075164399106,-48.766111060090715,33.66026569727891,-48.73097073696146,640022.0,10827.0,638874.0,CVL -> BUS,0.0013546944330395383
2016-04-04,CVL,BUS,2212,835,8.728300180831827,2823.783453887884,2807.4566003616637,2802.8010849909583,0.8503616636528029,0.4615732368896926,5879.372513562387,1.9298372513562363,-0.085405265500801,71.58227848101266,34.76240692082263,-57.03619114344474,34.94321761491003,-57.47137953727506,34.7464667151671,-57.11993324473009,696576.0,9985.0,695093.0,CVL -> BUS,0.0014778519301935438
2016-04-11,CVL,BUS,1976,735,8.872975708502024,2658.7611336032387,2648.7085020242916,2647.2985829959516,0.917004048582996,0.4706477732793522,5633.236842105263,1.598076923076924,-0.6328278355653967,72.67712550607287,33.05314998280801,-66.29870184813754,33.0588910601719,-66.28422203323782,33.113212257879646,-66.21946056446991,673075.0,33785.0,672941.0,CVL -> BUS,0.0013948773552673562
2016-04-18,CVL,BUS,1879,733,10.66684406599255,3566.7078233102716,3525.7509313464607,3532.629590207557,0.8382118147951038,0.5380521554018095,7803.801490154337,1.8995742416178814,-0.3294373926153485,73.448642895157,34.664836284799065,-65.43955059289456,34.440058926033764,-64.77277590856144,34.38319690448456,-64.30195729178799,610799.0,8916.0,610732.0,CVL -> BUS,0.0014895025346909818
2016-04-25,CVL,BUS,2188,880,11.448811700182816,4070.6956124314443,4042.8299817184643,4045.965722120658,0.8729433272394881,0.5237659963436929,8478.141224862888,1.9077696526508214,0.3280613223021518,74.69378427787935,34.65368786736292,-55.58330065274152,34.372391173890335,-54.3719189086162,34.43899359582246,-54.33154821409923,699338.0,8011.0,699084.0,CVL -> BUS,0.0014950614457954813
2016-05-02,CVL,BUS,2198,891,6.917197452229299,2155.7202001819837,2167.248407643312,2156.248407643312,0.9076433121019108,0.7556869881710646,4444.097816196542,1.1929936305732503,-0.4748659183790572,72.1565059144677,33.129611283119665,-38.02595129326925,33.102214090811984,-38.038243732906004,33.094591003205146,-37.77309937553422,987109.0,81946.0,981614.0,CVL -> BUS,0.0014705951226822906
2016-05-09,CVL,BUS,1916,858,7.054279749478079,2325.279227557411,2352.8606471816283,2343.8616910229644,0.7917536534446764,0.534446764091858,4117.079331941545,1.901304801670143,-1.3833496180162057,62.41649269311065,31.972586757934046,-53.22705153018043,31.736068388301195,-52.76832543932791,31.820215799626638,-52.760461134411926,480066.0,70024.0,478934.0,CVL -> BUS,0.0012802771171847801
2016-05-16,CVL,BUS,969,630,7.640866873065016,2365.6460268317855,2376.658410732714,2376.481940144479,0.8710010319917441,0.6790505675954592,4969.793601651187,1.6327141382868944,-0.17198503143073282,68.08049535603715,32.40570486966825,-37.91146110900474,32.28684041469194,-37.46329933649289,32.182241007109006,-37.522959529620856,29572.0,2916.0,29068.0,CVL -> BUS,0.0007470096486819019
2016-05-23,CVL,BUS,1288,715,6.633540372670807,2074.669254658385,2088.7981366459626,2081.805900621118,0.8641304347826086,0.7243788819875776,4313.39751552795,1.4628881987577644,-0.5957965359659108,65.96273291925466,30.81112244649446,-42.78874972232473,30.82450267435424,-42.12101823154982,30.786419445571948,-42.287978744464944,55689.0,6877.0,54859.0,CVL -> BUS,0.0007849107011726736
2016-05-30,CVL,BUS,1361,642,6.832476120499632,2007.3798677443056,2029.677443056576,2017.4562821454813,0.8412931667891257,0.6722997795738428,3909.22263041881,2.1005143277002207,-1.0273730364143117,72.20426157237326,35.93377610217753,-17.9058325720268,35.468664435510874,-13.233230084589612,35.55137313735342,-14.43148970770519,323418.0,29705.0,323278.0,CVL -> BUS,0.0011232820634716266
2016-06-06,CVL,BUS,1211,698,5.697770437654831,1698.7646573080099,1693.2526837324526,1714.5284888521883,0.8736581337737407,0.7762180016515277,4079.3270024772914,0.8616845582163505,-0.3075633429753455,66.6226259289843,34.371417507246385,-19.157956101449276,34.50417777777778,-19.075094539130426,34.39975903381642,-19.00709470048309,83089.0,11895.0,82804.0,CVL -> BUS,0.0008598495014860983
2016-06-13,CVL,BUS,1321,708,6.336109008327025,2045.9788039364119,2076.0764572293715,2065.9462528387585,0.8675246025738077,0.6775170325510976,3982.897804693414,1.7009841029523092,-0.900781560524533,61.847085541256625,24.300842947937127,-10.439030692534379,24.231966048133586,-10.562073613948916,24.251896376227897,-9.663584071709234,97440.0,21400.0,97380.0,CVL -> BUS,0.0007963492120905221
