week,a1c,a2c,mentions,events,avg_sentenceid,avg_a1co,avg_a2co,avg_actco,avg_raw_text,avg_root_event,avg_len,avg_goldstein,avg_tone,avg_confidence,avg_lat1,avg_lon1,avg_lat2,avg_lon2,avg_lata,avg_lona,total_num_mentions,total_num_sources,total_num_articles,pair,Relative_mentions
2016-01-11,GOV,JUD,1397,798,7.360773085182534,1861.7294201861132,1889.329992841804,1894.9384395132427,0.7931281317108089,0.6370794559770938,3998.0279169649248,0.7417322834645674,-2.709930728437951,61.28847530422333,25.480000753821386,-3.7058080965406277,25.43842060754413,-4.438049756821833,25.622563853012036,-6.245243451405624,41162.0,6199.0,39520.0,GOV -> JUD,0.0009116008219415858
2016-01-18,GOV,JUD,1859,818,8.191500806885422,2155.6847767617,2192.1075847229695,2194.3840774610007,0.7928994082840237,0.7616998386229156,4200.342657342658,0.2100053792361487,-2.413652284736349,63.84077461000538,17.71311560227274,19.93876648465908,17.76846060795455,20.4303876778409,17.823089630681828,19.87921137102272,257673.0,32294.0,256319.0,GOV -> JUD,0.0012380672032734524
2016-01-25,GOV,JUD,1749,831,8.684391080617496,2128.9971412235564,2152.7118353344767,2152.2115494568325,0.8101772441395083,0.5603201829616924,4002.7084048027446,0.06969696969696974,-3.39610469638486,63.96798170383076,32.12085204830615,5.782902445420341,31.402446759723965,10.274167202007549,31.725433359473026,9.35382771769137,281562.0,26076.0,280509.0,GOV -> JUD,0.0012223947755029012
2016-02-01,GOV,JUD,2719,959,9.043766090474438,2399.819051121736,2431.808753218095,2434.4965060684076,0.6818683339463038,0.59470393527032,4639.223243839647,-1.0349393159249722,-3.175440878310215,58.90400882677455,21.241496641715393,25.05612831734895,19.61050639610135,23.238907647953194,20.42375030643273,24.13816025653019,485943.0,50727.0,484896.0,GOV -> JUD,0.0018536622612361658
2016-02-08,GOV,JUD,2363,848,9.21540414727042,2519.5548032162505,2544.011002962336,2534.453237410072,0.7257723233178164,0.5861193398222598,4803.375793482861,1.5617858654253038,-2.1306253160194495,58.03216250528988,19.160542316381623,2.3751859500450374,24.132392136363602,-12.848942069756966,23.932466524302413,-13.01247438433841,425980.0,66167.0,425570.0,GOV -> JUD,0.0014758225540411494
2016-02-15,GOV,JUD,3614,1138,7.890702822357499,2110.142778085224,2174.8801881571667,2150.925290536801,0.822634200332042,0.6759822910902048,4757.775594908689,-0.14676258992805744,-2.5077367184154324,56.018262313226344,30.809695398773002,-27.372096191644733,30.71423358749634,-27.200954935436744,30.630020280455735,-27.4866544212679,647313.0,107429.0,645409.0,GOV -> JUD,0.002193072947892975
2016-02-22,GOV,JUD,2374,979,6.953664700926706,1768.9848357203032,1812.830244313395,1809.4696714406066,0.7957034540859309,0.6992417860151643,4242.380370682393,-0.2560235888795283,-3.4550494826729516,53.685762426284754,30.157997679807686,-34.68188084326924,30.28933562421912,-35.130756734262384,30.1809132375,-34.77478069903847,180202.0,36427.0,178304.0,GOV -> JUD,0.0014928329555137037
2016-02-29,GOV,JUD,2556,1012,6.136932707355243,1550.4636150234742,1553.0121283255087,1575.0281690140846,0.7492175273865415,0.770735524256651,3546.7061815336465,0.5475743348982784,-3.621630917078047,57.539123630672925,24.106234063166877,-16.907087413145522,23.81971247545881,-17.30794502304736,24.328082454118654,-17.033313559539028,196855.0,29936.0,194561.0,GOV -> JUD,0.0016619309869503305
2016-03-07,GOV,JUD,2928,1001,9.368852459016393,2431.9545765027324,2481.2571721311474,2475.122267759563,0.7093579234972678,0.6335382513661202,3956.463456284153,0.42349726775956276,-2.7549676423396643,56.67691256830601,31.60922421799307,-19.26093472587467,31.713084148788937,-18.090291169165717,31.730734479431,-17.691001565936183,367831.0,62884.0,365999.0,GOV -> JUD,0.0019008444735284036
2016-03-14,GOV,JUD,1760,894,8.467613636363636,2182.358522727273,2216.50625,2206.788636363636,0.8335227272727272,0.6085227272727273,4577.580681818182,0.1884090909090908,-3.302376150571226,59.67045454545455,26.97077214856801,-22.40468495584725,26.883322339498804,-22.588097788186154,26.950428502983293,-22.56069520465394,110487.0,16222.0,108664.0,GOV -> JUD,0.0012270862557972853
