week,a1c,a2c,mentions,events,avg_sentenceid,avg_a1co,avg_a2co,avg_actco,avg_raw_text,avg_root_event,avg_len,avg_goldstein,avg_tone,avg_confidence,avg_lat1,avg_lon1,avg_lat2,avg_lon2,avg_lata,avg_lona,total_num_mentions,total_num_sources,total_num_articles,pair,Relative_mentions
2016-01-11,ISR,USA,665,471,11.06766917293233,2983.1157894736843,3021.7669172932333,2969.6090225563908,0.14285714285714285,0.4842105263157895,6239.657142857143,0.3487218045112784,-2.0691128738648015,26.94736842105263,32.529265563909775,16.331955993984966,35.105690375939844,-40.48370566015037,33.70052661654135,-24.23494152481203,5578.0,1868.0,5430.0,ISR -> USA,0.00043394026241313854
2016-01-18,ISR,USA,1588,653,11.134130982367758,2901.4792191435768,2964.412468513854,2682.6007556675063,0.16498740554156172,0.42128463476070527,4928.743073047859,0.6954659949622147,-3.08234602192326,25.969773299748113,33.26775667506298,15.047981451511347,37.20581297229217,-42.49044039609579,36.38795741813602,-26.905395637279646,86178.0,38246.0,86109.0,ISR -> USA,0.0010575851096278873
2016-01-25,ISR,USA,1241,632,8.427880741337631,2405.4085414987912,2483.062046736503,2472.256244963739,0.136986301369863,0.5358581788879936,4969.134568896052,-0.7583400483481069,-2.542448128439052,28.170829975825946,33.17335888799357,13.49216284367445,36.467226510878334,-43.443782064464145,35.03890282030623,-22.577578228847692,42358.0,12890.0,42268.0,ISR -> USA,0.0008673481511715839
2016-02-01,ISR,USA,757,507,10.224570673712021,2767.79392338177,2878.439894319683,2879.4887714663146,0.20079260237780713,0.4385733157199472,5835.852047556143,0.9745046235138708,-2.533713533142155,32.06076618229854,33.028011878306884,15.792878023809521,36.7049201058201,-42.576389997354504,34.82540542328043,-13.743158277777779,15510.0,1990.0,10954.0,ISR -> USA,0.0005160802985493849
2016-02-08,ISR,USA,1835,753,11.64632152588556,2962.1771117166213,3024.9128065395093,2990.1449591280652,0.14768392370572206,0.44087193460490465,5098.891008174387,-0.04005449591280643,-3.030690560045191,31.177111716621255,32.76218217012,16.685541166848388,35.58351188113417,-56.500495637949804,33.91924721919306,-21.052184187568166,139330.0,41871.0,137669.0,ISR -> USA,0.0011460577175901436
2016-02-15,ISR,USA,1814,601,8.966923925027563,2145.574972436604,2130.1846747519294,2165.560639470783,0.175303197353914,0.7276736493936052,4509.044101433296,-3.373373759647188,-3.4658227647147952,25.22050716648291,32.4784351708931,26.701229454244732,35.74913748621831,-31.95594739250276,34.63037138919517,-10.862643147739792,232210.0,29179.0,231337.0,ISR -> USA,0.0011007842632755553
2016-02-22,ISR,USA,960,556,10.4,2872.717708333333,2902.157291666667,2919.2364583333333,0.22395833333333334,0.5427083333333333,5587.044791666666,-2.071458333333333,-3.13759720483994,28.739583333333332,32.33378114583334,16.10616971875,34.02067322916668,-42.081756250000005,32.269294062499995,-12.46465197916667,15854.0,6300.0,15229.0,ISR -> USA,0.0006036729727435364
2016-02-29,ISR,USA,1007,544,12.43098311817279,3580.1251241310824,3572.721946375372,3098.2154915590863,0.17676266137040714,0.4657398212512413,6669.012909632572,1.3062562065541221,-1.3778842678684295,33.058589870903674,32.02474057596822,21.59093694141013,37.02709195630585,-46.64636633565045,33.81121874875868,-7.641993545183712,112829.0,24567.0,112340.0,ISR -> USA,0.0006547591955629823
2016-03-07,ISR,USA,4013,1212,7.9955145776227265,1677.3685522053327,1726.5370047346125,1699.7057064540245,0.34836780463493644,0.7587839521554947,3795.257911786693,-1.5203339147769759,-3.6233500601143067,39.76825317717418,32.50934971343137,20.657487127585316,35.605829474208825,-35.765954689010876,33.744949987540515,-1.5097482599053178,774602.0,84150.0,773125.0,ISR -> USA,0.002605221609381654
2016-03-14,ISR,USA,1183,748,8.454775993237531,2324.129332206255,2351.882502113271,2379.462383770076,0.17413355874894337,0.6272189349112426,4880.234995773458,0.5240067624683009,-2.1800589529832783,27.24429416737109,33.700543437764615,10.598942277730739,36.52112294665538,-53.34435488060965,35.35761659610499,-21.6365821058425,16935.0,6734.0,16862.0,ISR -> USA,0.0008247971821637435
2016-03-21,ISR,USA,2776,1109,9.553674351585014,2609.2319884726226,2502.3425792507205,2651.3728386167145,0.28134005763688763,0.5551152737752162,5283.53962536023,1.2057997118155608,-2.4153891003460757,33.206051873198845,33.37575147694525,-0.020726493155626597,36.61028793227661,-51.32290467291073,35.325690273775194,-33.07816246974065,202825.0,50593.0,202791.0,ISR -> USA,0.0019485802248588578
2016-03-28,ISR,USA,895,568,11.911731843575419,3845.872625698324,3718.982122905028,3906.3988826815644,0.30837988826815643,0.39888268156424583,8024.17094972067,0.47955307262569846,-2.3629902148677737,31.363128491620113,32.811312290502784,3.5235490391061486,36.48005407821229,-44.37403278994413,33.84132022346368,-17.351658722905025,48245.0,9256.0,48239.0,ISR -> USA,0.0006217700090104547
2016-04-04,ISR,USA,1267,772,7.5619573796369375,2021.7821625887925,2073.418310970797,2119.0513022888713,0.13575374901341752,0.6045777426992897,4855.089187056038,1.2689029202841364,-1.3081058804549786,27.837411207576952,34.00917111286505,7.787037758484606,38.08503365430149,-51.64050585635358,36.68722326756116,-25.090590039463287,20647.0,7495.0,20316.0,ISR -> USA,0.0008464911372311121
2016-04-11,ISR,USA,1121,759,10.09099018733274,2737.78768956289,2752.5851917930418,2755.437109723461,0.15878679750223015,0.4620874219446922,5611.253345227476,0.9783229259589652,-2.5774684515927127,28.296164139161462,32.96203434433542,14.459535325602141,36.991249223907225,-37.46232471008029,34.65782140945585,-10.993055932203385,40294.0,2184.0,40266.0,ISR -> USA,0.0007913246534689809
2016-04-18,ISR,USA,670,466,9.853731343283583,3087.8179104477613,3097.831343283582,3090.6522388059702,0.22835820895522388,0.4955223880597015,6774.917910447762,-0.864626865671642,-2.137347769852242,26.119402985074625,34.66834397014925,11.486393985074631,36.35909423880597,-31.84356723880597,36.05113050746268,-6.3378819701492555,9091.0,4353.0,9076.0,ISR -> USA,0.0005311158585646396
