week,a1c,a2c,mentions,events,avg_sentenceid,avg_a1co,avg_a2co,avg_actco,avg_raw_text,avg_root_event,avg_len,avg_goldstein,avg_tone,avg_confidence,avg_lat1,avg_lon1,avg_lat2,avg_lon2,avg_lata,avg_lona,total_num_mentions,total_num_sources,total_num_articles,pair,Relative_mentions
2016-01-11,JUD,COP,3716,1020,6.14962325080732,1272.1649623250808,1322.7107104413349,1297.6003767491927,0.8159311087190527,0.7561894510226049,2950.6889128094726,-1.4458557588805168,-7.125235348654468,59.43756727664155,36.71428872005253,-51.67620759271412,36.81794866754186,-49.18003688414832,36.86263630456188,-49.17207656153591,702533.0,96607.0,692184.0,JUD -> COP,0.0024248451355296584
2016-01-18,JUD,COP,2802,951,7.0203426124197,1504.8711634546753,1566.8162027123483,1542.754461099215,0.8211991434689507,0.635260528194147,3241.148108493933,-1.2742683797287662,-6.347497559700015,57.737330478229836,29.22776852523126,-32.33423964676194,30.351941381833456,-33.86870309041206,30.293590359966338,-33.59595978973923,306438.0,51891.0,304063.0,JUD -> COP,0.0018660916103131863
2016-01-25,JUD,COP,3126,976,7.1615483045425465,1473.0706973768395,1529.824696097249,1508.2949456174024,0.8134996801023673,0.7220089571337172,3281.100127959053,-2.2134676903390917,-6.354750011439083,63.51887396033269,29.713912162904432,-40.903319212565805,29.675005033483806,-40.976306957486806,29.709278047027826,-40.91894629382992,693608.0,81609.0,691297.0,JUD -> COP,0.0021847947788576723
2016-02-01,JUD,COP,3750,1032,8.2104,1738.9496,1751.5213333333334,1757.8824,0.8128,0.6554666666666666,3364.2458666666666,-0.8204800000000024,-7.623529705243987,58.21066666666667,33.79633923715273,-68.35851231982119,34.275158889243414,-71.58166798723255,34.31819434407903,-72.281347366741,964662.0,161244.0,956480.0,JUD -> COP,0.002556540448560361
2016-02-08,JUD,COP,3616,1113,7.436670353982301,1503.0370575221239,1542.9029314159293,1538.611725663717,0.8033738938053098,0.8042035398230089,3597.4903207964603,-2.2880807522123896,-7.292155397717323,68.42090707964601,33.748418570016455,-44.347330983854945,34.13470747611203,-45.189725999340894,34.199457584843486,-45.01398700988456,1379463.0,149756.0,1375231.0,JUD -> COP,0.002258389485997798
2016-02-15,JUD,COP,3218,1142,7.131448104412678,1625.7992541951523,1676.3238036047235,1660.0146053449348,0.8157240522063394,0.7007458048477315,3346.7933499067744,-0.772343070229957,-6.289652095656617,66.17153511497824,31.762014526278154,-8.266523709688922,31.204111369324277,-8.991629521630298,31.62345089739005,-8.646167561315679,386471.0,44800.0,377200.0,JUD -> COP,0.0019527694372771427
2016-02-22,JUD,COP,4062,1174,6.770064007877893,1445.6770064007878,1492.1858690300344,1480.6543574593795,0.7705563761693747,0.7496307237813885,2997.606843919252,-0.7004923682914822,-7.085713096177549,58.43426883308715,32.45673340405903,-28.511636287207885,32.499770608668925,-30.34323994835537,32.64603612050415,-29.303503096218876,484410.0,70698.0,472851.0,JUD -> COP,0.0025542912659210887
2016-02-29,JUD,COP,3821,1142,6.7503271394922795,1356.8050248626014,1408.5812614498823,1396.1708976707669,0.8147081915728867,0.7409055221146297,2829.1538864171685,-2.0204920177963888,-7.492838982818347,58.403559277676,30.068402494153897,-49.38035697907688,29.971271546937572,-47.09693338904275,29.951151981527136,-47.12987978078813,619092.0,97964.0,613450.0,JUD -> COP,0.0024844437797876423
2016-03-07,JUD,COP,2737,958,7.063207891852393,1477.4767994154183,1535.145780051151,1499.6178297405918,0.7559371574716843,0.6748264523200584,2932.392765801973,-2.2033978808914876,-7.373303261361448,58.39970770917063,30.16016138342879,-50.89817080343757,30.46421153856322,-50.994731446892835,30.25216428867339,-50.70306222565,409442.0,71030.0,406870.0,JUD -> COP,0.0017768481297975548
2016-03-14,JUD,COP,2575,993,7.962330097087379,1713.4411650485438,1773.6450485436894,1747.1988349514563,0.7735922330097087,0.6594174757281553,3357.9071844660193,-1.3429514563106795,-7.443137154979791,55.615533980582526,32.85104568289293,-20.01478980250346,32.19330523783034,-19.230116618915144,32.71960813073716,-20.209070072786265,197407.0,31146.0,195878.0,JUD -> COP,0.0017953108572034146
