week,a1c,a2c,mentions,events,avg_sentenceid,avg_a1co,avg_a2co,avg_actco,avg_raw_text,avg_root_event,avg_len,avg_goldstein,avg_tone,avg_confidence,avg_lat1,avg_lon1,avg_lat2,avg_lon2,avg_lata,avg_lona,total_num_mentions,total_num_sources,total_num_articles,pair,Relative_mentions
2016-01-11,REL,USA,768,400,6.41015625,1759.9700520833333,1785.0299479166667,1803.5286458333333,0.45703125,0.6666666666666666,4994.734375,1.2048177083333338,-0.971646699489008,45.442708333333336,37.033992235294136,-82.11144431372549,37.42328852287583,-83.53396901960784,37.16609864052289,-82.42267830065359,103828.0,14707.0,103465.0,REL -> USA,0.0005011520624560758
2016-01-18,REL,USA,830,427,6.2783132530120485,1722.4506024096386,1762.379518072289,1762.8060240963855,0.24096385542168675,0.7048192771084337,4411.819277108434,2.5392771084337333,-1.0723918952135056,30.132530120481928,36.215545079903144,-74.05249548184018,37.45296679903148,-81.64983454479419,36.264125636803875,-77.98039350363196,28407.0,9269.0,28279.0,REL -> USA,0.0005527680358886312
2016-01-25,REL,USA,1196,428,9.399665551839465,2454.2215719063547,2500.173076923077,2476.695652173913,0.5309364548494984,0.6505016722408027,4833.1496655518395,0.5432274247491633,-0.8003220111431019,43.01839464882943,28.591518979933088,-43.54971150501672,27.63903511705684,-45.79469969063545,27.60631329431436,-45.50240704849497,256970.0,53485.0,256668.0,REL -> USA,0.0008358971706697941
2016-02-01,REL,USA,842,394,8.838479809976247,2612.326603325416,2758.0498812351543,2760.402612826603,0.1995249406175772,0.5688836104513064,5596.8574821852735,1.2023752969121142,-0.8174257257363488,28.24228028503563,36.91934678571431,-80.98891170238097,37.256951190476215,-82.29458569047621,37.133424642857165,-81.41732715476194,34747.0,17933.0,34539.0,REL -> USA,0.000574028548716753
2016-02-08,REL,USA,722,406,8.785318559556787,2333.270083102493,2359.8130193905818,2315.470914127424,0.24792243767313019,0.685595567867036,4858.836565096953,-1.0706371191135737,-2.814504689381023,35.54016620498615,35.48838664345406,-85.9594086350975,35.41014866295266,-86.02598279944291,35.274942910863516,-85.42162775766018,13966.0,3474.0,13672.0,REL -> USA,0.0004509284316621709
2016-02-15,REL,USA,548,336,8.682481751824817,2750.098540145985,2795.271897810219,2793.6587591240877,0.4197080291970803,0.551094890510949,5922.17700729927,1.1728102189781022,-1.9372599302974636,36.660583941605836,33.414557179487176,-75.61814750915751,35.907551098901095,-79.15529750915752,33.591332454212456,-77.28282260073262,12643.0,3685.0,12583.0,REL -> USA,0.0003325412217613034
2016-02-22,REL,USA,1057,421,5.928098391674551,1592.469252601703,1612.7029328287606,1618.3793755912961,0.42005676442762535,0.7701040681173131,3694.0643330179755,-0.8075685903500436,-2.48551574857471,39.13907284768212,33.786625806451624,-87.9396891859582,33.48261734597157,-95.3925880890995,33.605541193181836,-96.11637389583333,66988.0,15670.0,66394.0,REL -> USA,0.0006646690960311646
2016-02-29,REL,USA,1825,488,11.044931506849315,3262.9309589041095,3273.2175342465753,3280.405479452055,0.2345205479452055,0.5304109589041096,5728.825205479452,-0.5004383561643836,-4.098060822954998,33.57260273972603,36.10359489571898,-68.0007420812293,36.56004917672886,-70.03888053238188,35.813967727771654,-64.54125773710197,243110.0,52643.0,243091.0,REL -> USA,0.001186629128006398
2016-03-07,REL,USA,1613,432,6.283942963422195,1843.9987600743955,1887.7551146931185,1860.9175449473032,0.5294482331060136,0.8208307501549907,3958.965902045877,1.9800991940483568,-1.9010935968677038,53.61438313701178,37.768151726078806,-96.40763163477158,37.58980063164479,-99.60274032770467,38.00976460913071,-97.71703569981224,579152.0,73476.0,578834.0,REL -> USA,0.0010471523687846022
2016-03-14,REL,USA,1340,401,7.005970149253732,2364.2029850746267,2379.737313432836,2398.326119402985,0.5970149253731343,0.505223880597015,4616.914925373134,1.9892537313432812,-2.7683638808269397,47.61940298507463,15.221117635951666,-13.445855047583109,14.960675453172204,-13.315553595921468,15.360016691842896,-13.545726171450172,630113.0,68221.0,628433.0,REL -> USA,0.0009342588538456604
2016-03-21,REL,USA,753,396,10.274900398406375,2876.965471447543,2910.7397078353256,2892.3107569721114,0.29880478087649404,0.4940239043824701,6189.31208499336,0.8549800796812749,-1.5017220007221852,37.98140770252324,37.5898617222964,-79.42620769025368,37.45577507343124,-82.79955238985315,37.54642620827771,-80.29099182910548,28864.0,4986.0,28329.0,REL -> USA,0.0005285594053741786
2016-03-28,REL,USA,1085,398,9.412903225806451,2610.251612903226,2658.132718894009,2501.011059907834,0.36129032258064514,0.43502304147465437,5989.185253456221,0.47935483870967704,-2.441271260462519,38.70967741935484,27.922452081406096,-57.7208880999075,28.99913666049954,-67.04722945050878,29.38139586493988,-66.25536744403328,128336.0,18798.0,128288.0,REL -> USA,0.0007537658768450765
2016-04-04,REL,USA,547,375,9.992687385740401,2976.038391224863,2996.579524680073,2966.599634369287,0.21937842778793418,0.5009140767824497,6129.19012797075,0.8517367458866543,-0.7580821460236677,32.06581352833638,37.96330423572744,-78.09029919705341,37.89116151012891,-83.69094321178636,38.086637569060784,-77.24873912338859,4529.0,1107.0,4484.0,REL -> USA,0.0003654543425930689
