week,a1c,a2c,mentions,events,avg_sentenceid,avg_a1co,avg_a2co,avg_actco,avg_raw_text,avg_root_event,avg_len,avg_goldstein,avg_tone,avg_confidence,avg_lat1,avg_lon1,avg_lat2,avg_lon2,avg_lata,avg_lona,total_num_mentions,total_num_sources,total_num_articles,pair,Relative_mentions
2016-01-11,USAGOV,GOV,3460,1266,9.991907514450867,2585.784971098266,2617.4083815028903,2622.9384393063583,0.6621387283236995,0.5552023121387283,5191.255202312139,1.4268497109826586,-1.5116194905112494,47.286127167630056,34.54143707451779,-45.600376075394564,32.54982303009934,-40.126320447106984,33.36563663617764,-42.55231121566339,564149.0,87617.0,561943.0,USAGOV -> GOV,0.0022577944480442996
2016-01-18,USAGOV,GOV,6494,1164,15.59578072066523,3681.0651370495843,3312.269171542963,3725.4009855251,0.6258084385586695,0.6137973514012935,5738.3843547890365,2.6177702494610418,-1.769287729138372,49.54111487526948,38.248347499226625,-45.665152333900224,40.850753994741716,-53.50260059294753,39.053578584905615,-52.680268959325495,4058105.0,481198.0,4012093.0,USAGOV -> GOV,0.004324910391639483
2016-01-25,USAGOV,GOV,3245,983,8.483204930662557,2259.5097072419107,2310.40061633282,2293.275808936826,0.7057010785824345,0.6681047765793529,5106.66841294299,0.3850231124807395,-2.094562057151578,52.69029275808937,37.30378617314926,-59.67979646204533,36.87203358845666,-62.68833251599765,37.06180888017562,-59.38378225878309,1011774.0,121626.0,999059.0,USAGOV -> GOV,0.002267965149517961
2016-02-01,USAGOV,GOV,2829,850,7.407917992223401,1901.4135737009544,1941.771650759986,1958.6871686108166,0.7154471544715447,0.7872039589961117,5441.690703428773,0.41028632025450723,-1.0002343594667682,45.41534110993284,36.85008606901461,-65.56781433084312,36.37205947368424,-61.30567309637261,36.50358376244668,-63.924037171763864,718333.0,145412.0,717168.0,USAGOV -> GOV,0.0019286541143939363
2016-02-08,USAGOV,GOV,3664,1117,9.693231441048034,2560.596615720524,2544.3029475982535,2600.9388646288207,0.6391921397379913,0.5911572052401747,4844.760644104804,1.3847980349344973,-1.7356695087771221,48.10589519650655,36.38748808546528,-55.78118375990997,35.867999347948285,-53.503096350196685,36.10583560742407,-55.97845856130476,556657.0,111138.0,554257.0,USAGOV -> GOV,0.002288368107493344
2016-02-15,USAGOV,GOV,4214,1293,7.842429995253916,1990.2745609871856,1975.092311343142,2017.094447081158,0.7370669197911723,0.7128618889416232,4602.5215946843855,1.7428096820123384,-1.380248566150251,52.498813478879924,31.433454613358872,-63.29896581446029,31.124681910462048,-64.63742195451289,31.196806258079967,-65.04573754225531,1281193.0,160074.0,1202820.0,USAGOV -> GOV,0.0025571691760987816
2016-02-22,USAGOV,GOV,3573,1154,8.272040302267003,2022.9644556395185,2089.4125384830672,2069.957458718164,0.6823397705009796,0.7134061013154213,4363.492583263364,1.3560033585222495,-1.6233454465830788,50.710887209627764,35.07756474450469,-71.84454540793617,35.76995363947516,-68.6276191959499,34.84527719053051,-71.69623942127794,580735.0,97480.0,578235.0,USAGOV -> GOV,0.00224679534542985
2016-02-29,USAGOV,GOV,1897,884,8.228255139694253,2238.280442804428,2291.2013705851346,2276.1924090669477,0.6953083816552451,0.6731681602530311,5390.042698998419,1.044438587243015,-1.6729689078649395,46.3363205060622,36.90832340641711,-62.91758109197862,36.5193561657754,-64.58434680481287,36.68420750267379,-64.44395537914441,82171.0,15803.0,81212.0,USAGOV -> GOV,0.0012334440853852807
2016-03-07,USAGOV,GOV,2872,1195,8.22458217270195,2111.7562674094706,2140.3548050139275,2149.0957520891366,0.7336350974930362,0.6493732590529248,4814.152158774374,0.9862116991643451,-1.1154436084683006,50.39693593314763,37.58211483992868,-59.47279516470595,37.81869052620317,-59.6853556032086,37.98467958146164,-60.343369474866364,243944.0,39702.0,238893.0,USAGOV -> GOV,0.0018644895245811392
2016-03-14,USAGOV,GOV,2644,1088,8.31089258698941,2169.5453857791226,2124.4704992435704,2165.0937972768534,0.6720877458396369,0.6425869894099848,4496.032148260212,1.0715960665658095,-1.084029386525493,50.31770045385779,34.953700700612536,-58.731107714012296,35.66948672664621,-58.408410576186895,34.898227006125545,-58.079150298238964,175453.0,28877.0,174667.0,USAGOV -> GOV,0.0018434182160954674
