week,a1c,a2c,mentions,events,avg_sentenceid,avg_a1co,avg_a2co,avg_actco,avg_raw_text,avg_root_event,avg_len,avg_goldstein,avg_tone,avg_confidence,avg_lat1,avg_lon1,avg_lat2,avg_lon2,avg_lata,avg_lona,total_num_mentions,total_num_sources,total_num_articles,pair,Relative_mentions
2016-01-11,USA,CRM,6622,1839,8.219420114768951,2119.2689519782543,2200.8720930232557,2167.930836605255,0.3449109030504379,0.6120507399577167,4194.179401993356,-0.7941860465116289,-4.916048678939077,40.85774690425853,35.29284623008578,-82.49661010937488,34.911947440257364,-82.38793724846805,35.183039045649515,-82.34340437668497,2619681.0,337398.0,2597993.0,USA -> CRM,0.004321131455187675
2016-01-18,USA,CRM,4035,1501,6.862453531598513,1695.3541511771996,1737.007434944238,1732.2096654275092,0.26493184634448574,0.7707558859975217,4075.9239157372986,-0.4207682775712527,-5.122507135676822,36.6815365551425,39.64156537963657,-89.42242980333579,38.93994456808567,-87.48633129947714,39.652649228279834,-89.78186601692798,311693.0,97363.0,309119.0,USA -> CRM,0.0026872518371212372
2016-01-25,USA,CRM,7491,1723,8.85115471899613,2071.93018288613,1878.3736483780538,2106.6263516219465,0.30169536777466294,0.7056467761313576,5049.972633827259,-0.9482846081965026,-5.329193223747084,38.12174609531438,38.343308048551535,-89.45955007255907,38.29829144983906,-88.41798511547758,38.14127438438844,-88.19625304197967,1547168.0,412363.0,1545845.0,USA -> CRM,0.005235539887531294
2016-02-01,USA,CRM,3894,1633,6.43477144324602,1534.735233692861,1540.2008217770929,1580.746019517206,0.26348228043143296,0.6720595788392398,3813.3898305084745,-1.529994863893169,-5.018017592389662,38.15100154083205,38.84630599837881,-85.12722282112931,38.37302839773035,-85.60624505349897,38.53023258578764,-85.53840562712774,261338.0,65540.0,260584.0,USA -> CRM,0.002654711601785079
2016-02-08,USA,CRM,5167,1659,7.035029998064641,1653.6481517321463,1657.0590284497775,1664.164892587575,0.4193922972711438,0.750725759628411,4414.3948132378555,-2.875730598025935,-4.556019554776651,40.193535900909616,38.129926031059625,-84.1448425885591,37.50619033418519,-82.94053205386281,37.43975889718894,-83.00938800963242,797767.0,206532.0,775519.0,USA -> CRM,0.0032270736930726275
2016-02-15,USA,CRM,4685,1672,8.32059765208111,2087.0651013874067,2115.6847385272144,2114.0053361792957,0.2535752401280683,0.7150480256136607,4910.217289220918,-1.5198078975453584,-4.599957884224341,39.70971184631804,36.956983955758005,-92.67370653871193,36.72884324441556,-90.38649476903078,37.125393204510985,-91.5899966471483,825094.0,167345.0,821241.0,USA -> CRM,0.00284298471524034
2016-02-22,USA,CRM,9047,2031,10.727091853653144,2654.5751077705318,2630.9110202276997,2675.5307836851994,0.245827346081574,0.7518514424671162,5179.937216756936,-1.3745882613020843,-3.9738813372172577,35.18072289156626,35.39422964124949,-87.75105099014631,34.03481609886904,-85.29368590348183,34.45313415518971,-85.82876919773776,2375600.0,787145.0,2364758.0,USA -> CRM,0.005688988942094557
2016-02-29,USA,CRM,11628,2317,18.637168902648778,4891.953560371517,2904.2628138974887,4944.911076711386,0.260233918128655,0.6059511523907809,9270.642242862057,-0.41394908840728745,-2.3029919196637256,33.73237014103887,35.903452736614824,-84.48333434058742,36.03447010241787,-84.34341305621766,35.92910391537136,-83.92014046234902,5272891.0,595386.0,5263521.0,USA -> CRM,0.0075606156166895325
2016-03-07,USA,CRM,6630,1880,9.401357466063349,2423.1734539969834,2405.566968325792,2449.828657616893,0.25822021116138766,0.6745098039215687,6780.5147812971345,-0.32286576168929176,-3.1754353054678126,35.822021116138764,36.336589166922835,-82.51073551337238,36.39827368890259,-80.803256509376,36.47867722410085,-81.11731918997859,1164180.0,247253.0,1162522.0,USA -> CRM,0.004304166277149356
2016-03-14,USA,CRM,5372,1886,6.2220774385703645,1606.136448250186,1643.509865971705,1636.5068875651527,0.29877140729709606,0.746090841399851,3938.0080044676097,-1.3694713328369321,-3.7864606962621217,34.35405807892777,36.496159887634036,-87.48295952776175,36.43822985883678,-85.18476334632001,36.223450675701024,-87.7185192610574,522730.0,156262.0,520533.0,USA -> CRM,0.0037454019125812595
