week,a1c,a2c,mentions,events,avg_sentenceid,avg_a1co,avg_a2co,avg_actco,avg_raw_text,avg_root_event,avg_len,avg_goldstein,avg_tone,avg_confidence,avg_lat1,avg_lon1,avg_lat2,avg_lon2,avg_lata,avg_lona,total_num_mentions,total_num_sources,total_num_articles,pair,Relative_mentions
2016-01-11,USA,ISR,882,593,10.287981859410431,2831.105442176871,2765.767573696145,2860.967120181406,0.25396825396825395,0.5294784580498866,6314.03514739229,0.9156462585034018,-2.176118091264169,32.766439909297056,35.84389795918368,-50.19510178458051,32.51633446712018,-0.8057015578231316,34.06249498866213,-12.337249074829932,8385.0,2425.0,8241.0,USA -> ISR,0.0005755418217268996
2016-01-18,USA,ISR,1769,786,9.694742792538158,2504.7580553985304,2478.0915771622385,2280.1102317693612,0.2091577162238553,0.5189372526851328,4607.527981910684,1.8045223289994337,-3.206594848686047,29.55342001130582,37.182611758055394,-46.93880205426802,33.63491260599207,5.299085128886378,36.12722508762013,-23.900969538722492,112403.0,44308.0,112014.0,USA -> ISR,0.0011781285005867334
2016-01-25,USA,ISR,1294,705,9.516228748068006,2563.677743431221,2385.676970633694,2558.0540958268934,0.17156105100463678,0.5857805255023184,5208.914992272024,0.7677743431221022,-2.579709790556222,28.693972179289027,37.112267418856256,-47.58776574961361,33.401481761978374,6.620912859350849,34.37059536321485,-10.278672743431217,42610.0,19657.0,42380.0,USA -> ISR,0.0009043904170959143
2016-02-01,USA,ISR,1337,739,10.653702318623784,2808.1862378459236,2752.9783096484666,2847.231862378459,0.3231114435302917,0.4712041884816754,6237.3522812266265,1.3350785340314133,-2.4071896715905727,38.81824981301421,37.17318448765894,-46.175446566940934,33.074123679880344,11.642325976065825,35.4026316080778,-10.858106709050114,107962.0,11494.0,107929.0,USA -> ISR,0.0009114918879267207
2016-02-08,USA,ISR,1608,767,9.617537313432836,2608.8376865671644,2449.9657960199006,2645.172263681592,0.2126865671641791,0.6144278606965174,4965.74315920398,1.0243781094527367,-2.515516131286904,32.798507462686565,37.24858269446174,-62.70675710516491,33.121031804604876,9.891956873055372,34.63347461107655,-11.659724808960801,76657.0,19252.0,76359.0,USA -> ISR,0.0010042838201007906
2016-02-15,USA,ISR,855,669,11.388304093567251,3206.9391812865497,3192.995321637427,3310.9087719298245,0.25029239766081873,0.5076023391812865,6772.87485380117,0.9658479532163745,-1.8652805332696765,32.409356725146196,35.40997939181287,-38.675363177777776,33.15468573099416,7.794226494736844,33.59880807017544,-3.4325744760233916,7276.0,1667.0,7257.0,USA -> ISR,0.0005188371251932744
2016-02-22,USA,ISR,1742,692,14.96670493685419,4892.766360505167,4876.205510907003,4933.077497129736,0.18714121699196326,0.41733639494833524,9009.55625717566,1.2085533869115948,-1.4817669078036164,28.312284730195177,34.95678564867964,-57.80636787600452,32.6241680826636,-4.532062103329509,34.068137830080346,-32.30209515729047,137546.0,43627.0,137289.0,USA -> ISR,0.001095414915124209
2016-02-29,USA,ISR,2560,802,12.80625,3458.345703125,3161.559375,3464.153515625,0.230859375,0.41875,6578.909765625,1.3690234374999988,-1.3538976030939807,32.42578125,38.48253621093747,-49.56548797148436,32.687204023437495,14.556798214843738,34.914326640624985,-12.396317058593777,378059.0,93730.0,377133.0,USA -> ISR,0.0016645318179158242
2016-03-07,USA,ISR,3630,1228,9.265013774104684,2151.6633608815428,2151.8953168044077,2186.6920110192837,0.15206611570247933,0.71900826446281,4505.57217630854,1.3774931129476602,-2.6545874430729564,27.286501377410467,36.65830267291266,-51.05221049049341,33.50063039404795,3.8811408735188797,33.56156814549464,2.4543807467621854,379612.0,140122.0,374843.0,USA -> ISR,0.002356579726403041
2016-03-14,USA,ISR,1509,890,9.539430086149768,2500.509609012591,2377.4128561961566,2541.3432736911864,0.23127899271040425,0.5275016567263088,5033.70112657389,1.1415506958250503,-2.0640164297496035,30.25844930417495,36.08799289124669,-62.46975928580903,33.5520751856764,0.30496308355437507,34.70277173740054,-21.151831631299732,23441.0,7072.0,23397.0,USA -> ISR,0.0010520870227261952
