week,a1c,a2c,mentions,events,avg_sentenceid,avg_a1co,avg_a2co,avg_actco,avg_raw_text,avg_root_event,avg_len,avg_goldstein,avg_tone,avg_confidence,avg_lat1,avg_lon1,avg_lat2,avg_lon2,avg_lata,avg_lona,total_num_mentions,total_num_sources,total_num_articles,pair,Relative_mentions
2016-01-11,USA,MIL,7114,2106,8.878549339330897,2400.3761596851277,2406.336800674726,2410.396401461906,0.46429575484959235,0.6578577452909755,4527.504076468935,-1.4344391341017717,-2.028322724671132,46.799269046949675,34.393978461756255,-83.83926886416444,33.10025258498571,-76.67822146005692,33.296530014164176,-82.46077588441949,2917033.0,374716.0,2895755.0,USA -> MIL,0.004642181995198598
2016-01-18,USA,MIL,5919,1952,7.505152897448894,2056.669876668356,2042.8104409528637,2072.0180773779352,0.3708396688629836,0.7026524750802501,4216.16387903362,0.45399560736610817,-1.8957882514774365,41.988511572900826,35.69327611798613,-88.68415869215124,35.51343978806377,-77.01636766276702,34.73182221732498,-81.25610162875068,1314803.0,271582.0,1258364.0,USA -> MIL,0.00394196868002989
2016-01-25,USA,MIL,4775,1853,13.960837696335078,3219.4050261780103,2911.6286910994763,3261.1038743455497,0.2747643979057592,0.5229319371727749,6087.630994764398,0.06931937172774798,-2.159266252302641,39.03874345549738,36.35536958738888,-65.69200508421497,35.6531385950063,-54.4959986701227,35.89228792213283,-57.36085849661452,815738.0,166665.0,809047.0,USA -> MIL,0.0033372984865788183
2016-02-01,USA,MIL,4110,1865,8.331386861313868,2182.7420924574208,2215.333090024331,2217.069099756691,0.3223844282238443,0.6649635036496351,4535.322384428224,0.1525060827250608,-2.4403483544364524,38.51338199513382,37.9197828262045,-75.22846650786629,37.51092226647,-67.9780377394297,37.848145666175,-72.46613003294004,155412.0,38546.0,153514.0,USA -> MIL,0.0028019683316221557
2016-02-08,USA,MIL,6936,2215,13.09919261822376,3440.4211361014995,2653.429642445213,3475.4925028835064,0.2945501730103806,0.6513840830449827,6163.196943483275,0.8935409457900829,-2.248456004625585,35.52047289504037,37.492542403999515,-81.02659577945214,37.235947440950696,-67.57933276945356,36.930548908853936,-70.97283241718591,1327265.0,264054.0,1326202.0,USA -> MIL,0.004331910806106396
2016-02-15,USA,MIL,5931,2005,9.377339403136064,2383.191704602934,2415.406845388636,2415.581689428427,0.5144157814871017,0.6997133704265722,4785.464677120216,0.7475130669364323,-2.5377977681564197,45.31276344629911,34.94470985876363,-78.23381002895859,35.22475108721409,-67.82376659559698,34.98666963691774,-74.97580401473336,2798948.0,424267.0,2703125.0,USA -> MIL,0.0035990912158143985
2016-02-22,USA,MIL,4139,1900,7.533462188934525,2055.021744382701,2111.014496255134,2112.8748489973423,0.29862285576226144,0.7281952162358057,4563.9267939115725,1.1416525730852851,-1.486455915962704,37.23363131191109,37.33652960626065,-69.40174061946684,36.66245858820646,-62.6889418615121,36.882175161448096,-65.65237262671228,202850.0,52185.0,202208.0,USA -> MIL,0.0026027108689432262
2016-02-29,USA,MIL,4087,1821,8.772938585759727,2283.6004404208466,2299.5380474675803,2296.9469048201613,0.3829214582823587,0.6351847320773183,4861.187912894544,0.5000734034744309,-0.9046956669777504,39.29287986298018,36.36415030332922,-72.26132519531446,36.8853738702516,-60.286804041440625,36.77500547853969,-62.706143339171255,207718.0,48039.0,204733.0,USA -> MIL,0.002657399038992958
2016-03-07,USA,MIL,7544,2338,6.733430540827148,1897.1937963944856,1894.676299045599,1909.2138123011664,0.3341728525980912,0.7553022269353128,4091.7252120890776,-1.4391834570519628,-2.4894435924340375,39.3796394485684,34.24918024229368,-84.28860578974296,35.05267944137835,-77.97330336451736,33.88512652577731,-83.99530008103376,1202699.0,265111.0,1183601.0,USA -> MIL,0.004897530979610067
2016-03-14,USA,MIL,5143,1728,7.33287964223216,1773.2288547540345,1815.9560567762007,1821.2218549484737,0.38654481819949443,0.7347851448570873,3985.8786700369433,-0.6368461987167022,-3.426025172642386,42.0843865448182,37.23799212558517,-70.29704198069406,36.51117382215295,-57.05782704563164,35.81897674726989,-59.06159544598267,1284630.0,227523.0,1283833.0,USA -> MIL,0.0035857412577076355
