week,a1c,a2c,mentions,events,avg_sentenceid,avg_a1co,avg_a2co,avg_actco,avg_raw_text,avg_root_event,avg_len,avg_goldstein,avg_tone,avg_confidence,avg_lat1,avg_lon1,avg_lat2,avg_lon2,avg_lata,avg_lona,total_num_mentions,total_num_sources,total_num_articles,pair,Relative_mentions
2016-01-11,USA,USACOP,3920,1448,5.044132653061224,930.3553571428571,927.3255102040816,987.7461734693877,0.36556122448979594,0.7920918367346939,2518.6272959183675,-3.7939540816326525,-6.011418238388877,44.58418367346939,38.666066387914825,-83.01002834556228,38.25002581602375,-82.68519564526552,38.413413514971666,-82.70064442055552,516710.0,65795.0,509568.0,USA -> USACOP,0.0025579636521195536
2016-01-18,USA,USACOP,4110,1416,7.617518248175182,1602.6800486618006,1433.836496350365,1637.7995133819952,0.18856447688564476,0.7138686131386861,3368.0924574209243,-4.007055961070557,-5.725131620128861,33.5669099756691,36.61874107187582,-95.26950995316793,36.8061621838217,-95.7951022186325,36.804884898572524,-95.75915428650124,268755.0,86528.0,265931.0,USA -> USACOP,0.0027372007560268366
2016-01-25,USA,USACOP,6332,1621,5.854390397978522,1235.6762476310803,1204.3698673404926,1284.905716993051,0.18414403032217308,0.7716361339229312,2993.9428300694885,-3.7252053063802912,-6.588884626354897,35.62697409981049,38.42803741638389,-94.0106677649053,37.68760405558246,-94.17083511552741,37.98126926805621,-94.5974694672805,982807.0,216574.0,974810.0,USA -> USACOP,0.004425502411940749
2016-02-01,USA,USACOP,4817,1480,5.6580859456093,1124.625285447374,1086.2611583973428,1173.5343574839112,0.20718289391737596,0.7772472493253062,2822.0525223167947,-4.046003736765622,-7.2439327787191035,35.713099439485156,38.3801400438597,-94.67186754473671,38.19481752192987,-94.49645589999993,38.04795453947374,-93.59584701973677,522328.0,136509.0,504755.0,USA -> USACOP,0.0032839614241907357
2016-02-08,USA,USACOP,6383,1545,7.258969136769544,1434.4471251762493,1341.50352498825,1472.9412501958327,0.22591258029139902,0.7747140842863857,3458.7371142096194,-2.8920413598621333,-6.37789385324248,30.095566348112172,38.67719388047826,-84.4653764243823,38.88098785657386,-84.67622218533847,38.76583880478101,-84.51040336462135,642850.0,223041.0,615831.0,USA -> USACOP,0.003986532104293126
2016-02-15,USA,USACOP,3927,1327,5.12375859434683,952.7692895339954,868.3941940412528,997.7316017316017,0.1751973516679399,0.7708174178762414,2441.052457346575,-3.7669977081741792,-6.459464824506723,35.123503947033356,36.45907207931404,-93.17377707047154,36.29906572883173,-93.24645097186489,36.173810128617355,-94.44439137915317,253326.0,82274.0,249555.0,USA -> USACOP,0.0023830098136070044
2016-02-22,USA,USACOP,7768,1557,11.301235839340885,2243.9835221421217,1504.3891606591144,2291.515319258496,0.08934088568486097,0.7761328527291452,4656.844490216272,-3.1958032955715763,-6.183154351350575,31.85890834191555,36.0295747419311,-91.12539141643799,35.94623206585628,-90.80450418267381,35.62584364301563,-90.81571375147014,2225035.0,502382.0,2220624.0,USA -> USACOP,0.004884720471116449
2016-02-29,USA,USACOP,5940,1663,4.284006734006734,776.3191919191919,724.7089225589226,811.6410774410774,0.17154882154882156,0.8671717171717171,2906.4451178451177,-5.027188552188546,-5.732655880910005,33.95286195286195,36.981686906787026,-91.72568749574724,36.28358731123074,-87.84363003471617,35.808098507203646,-87.40771273962851,794613.0,241755.0,781017.0,USA -> USACOP,0.0038622339837578105
2016-03-07,USA,USACOP,5583,1467,6.576571735626008,1334.6801003044957,1259.1776822496865,1372.980476446355,0.16353215117320438,0.7112663442593588,2709.694250403009,-3.4949310406591447,-5.325272802786617,33.320795271359486,37.44559781249996,-91.54340545488151,37.82558610761828,-89.98231209319499,37.22507608542894,-91.6110729730028,576646.0,181528.0,571512.0,USA -> USACOP,0.0036244585709388926
2016-03-14,USA,USACOP,6247,1606,4.629422122618857,935.0598687369937,797.439731070914,993.8733792220265,0.2042580438610533,0.8722586841684008,2690.894189210821,-4.87798943492876,-6.367037662016649,33.80502641267809,37.010889127128415,-87.14761030319053,37.22290886592817,-87.55883308331957,37.23461837163159,-87.5458942013556,1241531.0,354065.0,1231150.0,USA -> USACOP,0.004355458999980478
