week,a1c,a2c,mentions,events,avg_sentenceid,avg_a1co,avg_a2co,avg_actco,avg_raw_text,avg_root_event,avg_len,avg_goldstein,avg_tone,avg_confidence,avg_lat1,avg_lon1,avg_lat2,avg_lon2,avg_lata,avg_lona,total_num_mentions,total_num_sources,total_num_articles,pair,Relative_mentions
2016-01-11,USA,USACVL,2375,1070,6.375578947368421,1799.389894736842,1759.632842105263,1841.328,0.15157894736842106,0.7646315789473684,4251.337263157895,1.013642105263158,-2.045916960452653,29.82315789473684,38.8666715780591,-90.18122531097046,39.14895640084393,-89.57472043755276,38.96095851054856,-88.82359282151901,147843.0,50874.0,147604.0,USA -> USACVL,0.0015497866514754947
2016-01-18,USA,USACVL,3783,1152,12.187153053132434,2549.3930742796724,2564.1940259053663,2219.3936029606134,0.24425059476605868,0.5590800951625694,4198.965635738831,1.185011895321175,-2.361651461686436,31.874173936029607,37.953762933686946,-82.57482036074249,38.47878378249332,-82.10954104615388,38.558862827586154,-81.54790655013262,744813.0,220904.0,743886.0,USA -> USACVL,0.002519423469598424
2016-01-25,USA,USACVL,3361,1124,6.933055638202916,1894.3540612912823,1853.8074977685212,1859.1187146682535,0.13150847961916096,0.6605177030645641,4128.002082713479,0.049776852127343486,-2.5272452400417076,35.81969651889319,38.846436561382575,-82.26797826102498,39.398441507747314,-84.54324779320609,38.93013194278904,-82.67908961978542,549049.0,99809.0,548597.0,USA -> USACVL,0.0023490387881447976
2016-02-01,USA,USACVL,3973,1296,9.297508180216461,2535.447017367229,2510.816259753335,2560.148754090108,0.19909388371507677,0.7634029700478228,4994.6408255726155,1.1286936823559015,-0.8082231193187731,31.666247168386608,40.570599999999985,-84.72126989261393,40.69185437358206,-85.11486807764038,40.64388618603476,-84.03897631207445,1091962.0,141263.0,1091377.0,USA -> USACVL,0.0027085693872347504
2016-02-08,USA,USACVL,5144,1404,8.186236391912908,2197.099533437014,1997.583398133748,2250.5478227060653,0.20042768273716952,0.609253499222395,4903.026827371696,0.9366640746500765,-1.3365915435633204,26.288880248833593,40.251840892265776,-80.86911293006051,40.00684097019289,-80.40786952464444,40.66297011883893,-80.38493769530488,717153.0,336352.0,714960.0,USA -> USACVL,0.003212708936939345
2016-02-15,USA,USACVL,4217,1252,6.939767607303771,1937.6198719468816,1903.3865307090348,1974.8894949015887,0.14512686744130898,0.7441308987431824,3983.5669907517195,0.5764050272705686,-1.1994216148584884,29.919373962532607,38.05765178274305,-93.45542837841683,37.749491977656305,-94.05831261088643,37.78442539814595,-92.31955929260748,492155.0,150132.0,491512.0,USA -> USACVL,0.002558989657239811
2016-02-22,USA,USACVL,3874,1261,6.077439339184306,1699.1497160557562,1631.3069179143004,1764.8711925658235,0.14145585957666496,0.733866804336603,4485.1905007743935,0.09238513164687656,-2.3283115084340253,33.6654620547238,38.48783069368663,-90.35506455858658,38.49961648999738,-90.17194859340081,38.41261267082356,-89.46365129540133,451670.0,101006.0,448004.0,USA -> USACVL,0.0024360719754254793
2016-02-29,USA,USACVL,4300,1464,6.852325581395349,1907.7281395348837,1849.0648837209303,1782.6530232558139,0.14,0.8181395348837209,3860.1,-0.24344186046511881,-0.8524923938733618,35.544186046511626,37.527982339235834,-81.21401292404467,37.904470666356026,-81.37035380242304,37.10381065004663,-78.95855095293561,905174.0,167032.0,888068.0,USA -> USACVL,0.0027958932879054857
2016-03-07,USA,USACVL,5983,1385,17.533177335784725,4686.770015042621,4682.267424369045,4695.5791408992145,0.10529834531171653,0.5935149590506434,6865.097442754471,0.5289988300183863,-1.518609975031355,25.88835032592345,38.29468580623536,-86.51612647217569,38.72569871270525,-85.62412762034869,38.721385521287345,-85.91103761867264,805742.0,209662.0,804857.0,USA -> USACVL,0.0038841367777050677
2016-03-14,USA,USACVL,3818,1226,9.215819800942903,2578.763488737559,2556.7739654269253,2396.5890518596125,0.2904662126767941,0.6257202723939235,5328.707176532216,0.15159769512833932,-1.5791963401229059,36.28339444735464,37.2567379107611,-79.23242210157467,36.7081494330708,-80.00876360288707,36.90796090288708,-79.6355261847768,627290.0,117207.0,624475.0,USA -> USACVL,0.0026619405253602473
2016-03-21,USA,USACVL,4676,1224,9.810307955517537,2389.5765611633874,2422.6218990590246,2398.869760479042,0.20958083832335328,0.6306672369546621,4565.995722840034,-0.832249786142002,-2.9436656266281873,29.935842600513258,39.7684061657032,-82.44553422607551,38.50693294797687,-92.63664152729595,38.82909000214085,-93.9851950261185,884426.0,221239.0,883568.0,USA -> USACVL,0.0032822626554178743
2016-03-28,USA,USACVL,2749,1123,5.630047289923609,1558.3532193524918,1497.9276100400145,1623.0218261185885,0.16587850127319026,0.7984721716987996,3966.1975263732265,-0.707238995998545,-2.9401317530210496,34.53619497999272,39.14404816096139,-86.94144450109246,39.017162327021104,-88.39862584850685,38.849536394756,-86.51794301165327,525655.0,97824.0,454790.0,USA -> USACVL,0.0019097717930388158
2016-04-04,USA,USACVL,3372,1208,7.26423487544484,2082.5925266903914,1844.1536180308422,2129.917852906287,0.18030842230130487,0.7405100830367735,4604.121589561091,1.4388196915777005,-0.951505676382188,32.977461447212335,40.44342001485444,-89.16896943939408,40.24901921271536,-90.18445859566255,40.238356616161646,-89.28806944533575,545284.0,100392.0,529460.0,USA -> USACVL,0.002252855654888169
2016-04-11,USA,USACVL,1629,925,6.7440147329650095,1940.0429711479435,1863.170042971148,1973.2473910374463,0.1921424186617557,0.6335174953959485,4307.927562922038,0.33873542050337657,-1.111145450578874,31.712707182320443,39.3144438118812,-88.35730374381191,39.50246745049507,-88.71675318688122,39.44226664603962,-88.12109434839111,62722.0,19430.0,62421.0,USA -> USACVL,0.001149926726584273
2016-04-18,USA,USACVL,3583,1072,6.01311749930226,1482.5590287468601,1436.1289422271839,1534.125313982696,0.21462461624337148,0.8336589450181412,4247.751883896176,-1.0510745185598662,-1.1007231473619334,30.449344125034887,38.764218108032495,-84.58815600671683,39.01368396305627,-81.55041861516919,38.72361382591659,-84.68682467926095,522730.0,128855.0,520057.0,USA -> USACVL,0.0028402807779658265
2016-04-25,USA,USACVL,4593,1362,8.42782495101241,2231.3322447202263,2211.734378401916,2278.2240365774005,0.2212061833224472,0.6995427824951013,4823.329414326148,0.4706509906379255,-0.7995877689787503,34.64837796647072,39.5296056381119,-85.09920301289338,39.967938898601375,-85.06512590406464,39.679526311188695,-84.84542235292838,1066048.0,208042.0,1063094.0,USA -> USACVL,0.0031383990953101674
2016-05-02,USA,USACVL,3703,1206,8.170132325141777,2193.6143667296787,2032.0008101539293,2210.891439373481,0.18525519848771266,0.7712665406427222,5788.4293815825,0.2549284364029172,-1.533156190668217,31.976775587361598,37.772968311195484,-88.64927423583607,38.02468912984552,-88.38171428300333,38.04294640824076,-87.93644407346144,430707.0,113339.0,428007.0,USA -> USACVL,0.002477531273563477
2016-05-09,USA,USACVL,1890,1030,10.451322751322751,3152.2507936507936,3079.83544973545,3165.3238095238094,0.18994708994708995,0.6084656084656085,6034.042328042328,1.192910052910053,-1.1861780688373966,35.523809523809526,38.35120133049493,-90.54333195848855,38.6624408630794,-90.75849551944599,38.50857895578051,-90.2636568833245,60188.0,11525.0,59989.0,USA -> USACVL,0.0012629038368889534
2016-05-16,USA,USACVL,2347,972,9.651469961653174,2953.039198977418,2766.0839369407754,2980.8913506604176,0.12015338730293992,0.7226246271836387,5708.544098849595,0.7270558159352368,-1.1116872029205793,30.613549211759693,38.29316255944662,-84.92543634673584,38.39021124081282,-85.28531127972326,39.1545010380623,-93.34234492304367,178055.0,55931.0,177352.0,USA -> USACVL,0.0018093205835463609
2016-05-23,USA,USACVL,3474,1209,6.297639608520438,1678.4594127806563,1676.7037996545769,1718.2901554404145,0.2282671272308578,0.6683937823834197,4381.291594703512,0.5438111686816339,-1.578677177551687,31.419113413932067,37.770853038194474,-102.44271653067138,37.324108796296336,-101.9963283680556,37.89788159722226,-101.9885847569445,300158.0,83486.0,286428.0,USA -> USACVL,0.0021170650433803323
2016-05-30,USA,USACVL,2023,796,4.575383094414236,1483.9772614928324,1418.6495304003954,1526.7335640138408,0.1972318339100346,0.8418190805734058,4890.98467622343,1.621799307958476,-1.5293091765682365,36.767177459218985,38.200812074626874,-100.48217578805968,38.220003517412955,-100.89081703184071,38.26337361691544,-100.50509731393026,209321.0,45987.0,207589.0,USA -> USACVL,0.0016696543823681855
2016-06-06,USA,USACVL,4307,1045,6.690503830972835,1971.3561643835617,1916.4002786162062,2006.059670304156,0.21360575806826096,0.762944044578593,4689.723705595542,0.2893661481309488,-1.3541029812182055,29.322033898305083,37.795858029281824,-92.17487669997685,37.63932326283982,-93.79365961887056,37.93367225191723,-92.03605120613526,810557.0,210300.0,726862.0,USA -> USACVL,0.003058110489595892
2016-06-13,USA,USACVL,4758,1420,11.793400588482555,2652.1120218579235,2628.238755779739,2665.602564102564,0.13913408995376209,0.7700714585960488,4848.577343421605,0.2538671710802829,-3.221114094920137,30.899537620849095,36.06903452355804,-85.5486103078385,36.00744431227553,-83.96113811261347,36.1286592499472,-74.59103047052605,592288.0,202421.0,581149.0,USA -> USACVL,0.002868303975114841
2016-06-20,USA,USACVL,3907,1093,7.8809828512925515,2395.1717430253393,2405.155618121321,2448.4018428461736,0.07448169951369336,0.6800614282057845,6046.524443306885,-0.6856667519836188,-2.765188659744248,34.83491169695419,37.11676839671124,-94.2067930465058,36.989660688592046,-94.17846787101772,37.17755511305246,-94.12827318114101,840537.0,170397.0,825135.0,USA -> USACVL,0.0026232990856389317
2016-06-27,USA,USACVL,4893,1146,5.178826895565093,1704.7604741467403,1598.3139178418148,1746.8624565706111,0.19926425505824646,0.8320049049662783,4566.476190476191,1.0448191293684843,-0.6907627664224261,34.10790925812385,37.132352835453425,-97.24828689105422,36.977986924497294,-96.7939890453424,37.27912839762001,-96.02802888325783,1814619.0,349949.0,1784725.0,USA -> USACVL,0.0030045353562520496
2016-07-04,USA,USACVL,2563,897,6.348419820522825,1639.0269215762778,1593.0639875146312,1678.906359734686,0.07881388997268826,0.7198595396020289,4144.635193133047,-0.6554428404213815,-1.3173629842268266,31.139289894654702,36.09795727165819,-95.21807068600553,36.18628377107019,-95.60080402587222,36.385072873383,-91.0862846805175,182295.0,55706.0,182028.0,USA -> USACVL,0.0014122931772959683
2016-07-11,USA,USACVL,2519,1016,8.451766574037316,2174.3886462882097,2152.9206034140534,2242.6280269948393,0.1627630011909488,0.5267963477570464,4593.278682016673,0.9317983326716937,-2.579615138135006,35.52203255260024,37.630272912350634,-91.41834110239047,37.454599645418355,-80.88433845976095,37.43762717529883,-93.02736477968126,283950.0,55160.0,281119.0,USA -> USACVL,0.001224417380991151
2016-07-18,USA,USACVL,2103,969,6.620066571564432,1803.6262482168331,1321.1897289586304,1826.7379933428435,0.1336186400380409,0.7275320970042796,3970.4978601997145,-0.08801711840228238,-1.7733351537118138,34.41749881122206,38.6573251191611,-87.24963014775973,38.75233207816968,-86.38899180171587,38.71112483317444,-86.45724847473778,239034.0,55829.0,238614.0,USA -> USACVL,0.001131955430129607
2016-07-25,USA,USACVL,3865,1062,4.386545924967659,1152.5842173350582,1163.3780077619663,1201.654851228978,0.189391979301423,0.8359637774902975,2897.890038809832,-1.746623544631306,-2.981307171192452,31.265200517464425,37.51264563358372,-88.50712461803528,37.73936491318999,-88.47798766545687,37.7511771443381,-88.35061401943463,1245954.0,63628.0,1245331.0,USA -> USACVL,0.00227001756106729
2016-08-01,USA,USACVL,3713,1187,8.592782116886614,2326.1432803662806,2242.642068408295,2367.4252625908966,0.18933476972798277,0.6070562887153246,4676.103420414759,1.269297064368435,-2.7608357804609707,28.89846485321842,38.95137729729726,-93.05060808756754,38.87236908108104,-92.49316584432428,39.15874470270267,-91.26813443027025,592186.0,201483.0,590640.0,USA -> USACVL,0.00254287201402586
2016-08-08,USA,USACVL,4619,1118,9.451829400303096,2414.84823554882,2436.3715089846287,2474.8969473912102,0.0967741935483871,0.6139857111928989,4666.295085516345,-2.4261311972288366,-3.1992589790823187,29.01277332756008,37.43367089076723,-74.3193521022974,37.81346870177707,-99.49426034677077,37.64572583224963,-97.44609303641074,1416044.0,146324.0,1415315.0,USA -> USACVL,0.003115000084298552
2016-08-15,USA,USACVL,5023,1297,6.864224566991838,1613.262791160661,1624.2265578339639,1663.4746167628907,0.15568385427035636,0.8261994823810472,4721.558630300618,-0.8383436193509833,-3.246475962625432,37.90364324109098,37.54199543230698,-87.8046570463939,37.231052378743016,-75.76324877688748,37.60531398987761,-74.37727003732601,1505956.0,217561.0,1391580.0,USA -> USACVL,0.0031437743191879137
2016-08-22,USA,USACVL,5933,1333,8.822855216585202,2609.499241530423,2255.4183381088824,2659.946907129614,0.2759143772122029,0.6629024102477667,5019.781223664251,0.2715489634249118,-1.70577341276196,35.54862632732176,36.91064156260537,-92.86776687968272,37.6977755990549,-90.17640327117789,36.96839438069514,-92.60346407289904,914334.0,174118.0,912814.0,USA -> USACVL,0.003192089772346377
2016-08-29,USA,USACVL,3947,1085,8.562452495566253,2389.731948315176,1785.2870534583228,2399.037243476058,0.32733721814035976,0.709399543957436,4784.947555105143,1.6878135292627314,-1.5987133608269533,35.03927033189765,37.06712378268593,-91.28116640771758,37.10749433104846,-91.50330233054062,35.43502348311756,-89.93724773115001,1105521.0,234215.0,1100859.0,USA -> USACVL,0.0025167234263145846
2016-09-05,USA,USACVL,2278,1018,8.059701492537313,2285.357769973661,2127.6804214223002,2322.638279192274,0.14091308165057068,0.6712028094820017,4117.777436347674,0.350790166812994,-2.1978294429158365,35.64530289727831,36.922885475352075,-88.72021520686619,36.87188124999997,-88.67235131338025,36.92645448943659,-87.67360329401407,205052.0,40777.0,204895.0,USA -> USACVL,0.001474650320791469
2016-09-12,USA,USACVL,2289,1074,5.101791175185671,1432.4451725644385,1388.782874617737,1477.245522062036,0.16164263870685888,0.8103975535168195,3561.598514635212,1.8100917431192645,-1.26347969499512,31.205766710353867,38.728398816308655,-82.73584710828582,38.741464270057,-85.86986753836035,38.8265361245068,-85.60647254055237,105960.0,35865.0,105730.0,USA -> USACVL,0.0015919878983881904
2016-09-19,USA,USACVL,3017,1193,7.30195558501823,2002.6463374212794,1939.9724892277097,2032.8597944978455,0.12495856811402055,0.7358302949950282,4390.009943652635,0.17325157441166705,-2.368233151156977,28.68743785217103,41.87926306874796,-95.55287311026228,41.772082696778526,-95.92045712786445,41.574888727997376,-93.56812066157416,176161.0,87936.0,175783.0,USA -> USACVL,0.0016616080422490144
2016-09-26,USA,USACVL,4377,1211,7.068311628969614,1787.7018505825909,1723.9380854466528,1821.6419922321224,0.1825451222298378,0.6997943797121315,3979.499200365547,-1.5330820196481532,-2.582358879049192,32.34178661183459,38.60882127459961,-94.69107354073215,38.74226598855835,-94.88905796430195,38.76319486727696,-94.11586839908469,1117413.0,284249.0,1117015.0,USA -> USACVL,0.0026464847765150326
2016-10-03,USA,USACVL,4291,1320,8.270100209741319,2327.8869727336287,2019.094383593568,2363.047541365649,0.1402936378466558,0.6273595898391984,4946.724073642507,-0.343090188767187,-3.303214643828369,30.337916569564204,36.07425320737119,-83.67847457429441,36.302775833916556,-85.12367231163994,36.241057009563875,-82.92836871938432,713690.0,228603.0,706486.0,USA -> USACVL,0.002710516691059843
2016-10-10,USA,USACVL,4837,1364,7.78726483357453,2086.0409344635104,1981.608228240645,2122.510026876163,0.13438081455447592,0.6193921852387844,4225.740334918338,-0.29888360554062465,-2.203803388990579,31.39549307421956,38.222068931262996,-90.89804999316758,38.21716810310562,-90.44879879233939,38.532589320911015,-91.33085220848845,1041630.0,356665.0,1039763.0,USA -> USACVL,0.0031387954993942393
2016-10-17,USA,USACVL,3766,1350,6.693043016463091,1715.7416356877322,1598.955921402018,1757.4604354753053,0.2381837493361657,0.7355284121083377,5291.984599044079,0.15015932023367046,-1.7845652479712484,41.322357939458314,38.26665867913837,-92.32716647874143,38.35395422902501,-92.3199022213718,38.29568203514745,-91.74812617261897,865198.0,75153.0,831928.0,USA -> USACVL,0.002372968075199018
2016-10-24,USA,USACVL,4017,1560,7.753547423450336,2104.940502862833,2031.7684839432413,2128.8421707742095,0.15733134179736122,0.733881005725666,4472.029375155589,0.558252427184465,-1.3543662581786375,32.74085138162808,38.109940379905,-86.45595216945763,38.169526200949754,-86.06576288002992,38.24202215196201,-84.16370389477623,283949.0,70359.0,270402.0,USA -> USACVL,0.002591333707916631
2016-10-31,USA,USACVL,6523,1751,6.557105626245592,1760.5502069599877,1698.8568143492257,1781.6176605856201,0.2034340027594665,0.7399969339261077,4074.986202667484,0.7045071286217998,-1.6295461111964413,34.34002759466503,38.306118935974176,-89.72683800199582,38.1937131168432,-90.82885591186839,38.221347217871944,-89.27929188146767,996703.0,248344.0,995426.0,USA -> USACVL,0.004191267795860906
2016-11-07,USA,USACVL,14723,2831,17.651293893907493,4502.541194050125,4496.403722067514,4503.717313047612,0.17822454662772533,0.6146845072335801,6861.934863818516,0.34340827277049596,-2.4324951991996953,30.577327990219384,39.974368762921465,-93.35737427094638,39.80160877516293,-95.2088917063383,38.65521740274736,-87.53080034711633,6388782.0,1089483.0,6379485.0,USA -> USACVL,0.007901911744184798
2016-11-14,USA,USACVL,3730,1446,8.391152815013404,2385.14745308311,2347.9887399463805,2436.848257372654,0.17908847184986595,0.6659517426273458,4563.767292225201,1.0575335120643434,-0.8065243068538586,30.699731903485254,39.14784808716716,-91.49270880306702,39.35518719397364,-91.3673469521118,39.05238422114613,-91.39349303766477,684412.0,203758.0,684196.0,USA -> USACVL,0.0022669094427413923
2016-11-21,USA,USACVL,1414,800,7.234794908062235,2121.6251768033944,2013.3649222065064,2147.8811881188117,0.18246110325318246,0.6478076379066479,4713.36775106082,0.39837340876944866,-1.59647288516614,32.42574257425743,38.110626335714294,-90.33181125499999,38.25132312142858,-90.43623492142855,38.26985705,-90.1381720642857,28931.0,10026.0,28882.0,USA -> USACVL,0.001018122435343105
2016-11-28,USA,USACVL,4031,1162,10.35723145621434,2925.7454725874472,2566.639791614984,2966.4862317042916,0.18506574051103944,0.6479781691887869,5435.223517737534,0.9669808980401866,-1.891149526326792,37.70528404862317,37.86078827983953,-89.60046227933786,37.92931051892706,-89.89843150413623,38.01667115346038,-90.09136167251742,1277765.0,205617.0,1271964.0,USA -> USACVL,0.0026646095431493554
2016-12-05,USA,USACVL,4137,1201,8.687454677302393,2366.0282813633066,2348.414551607445,2370.063089195069,0.1314962533236645,0.544839255499154,4666.29538312787,-2.1167029248247524,-2.018011751778552,29.182982837805174,37.080952614601074,-94.90766477977195,36.71140321853022,-94.7676457014309,37.0917925660927,-94.85357202449671,819859.0,267258.0,819222.0,USA -> USACVL,0.0026548025165756706
2016-12-12,USA,USACVL,3547,987,7.109106287003101,1879.628418381731,1465.137581054412,1934.8883563574852,0.14716661967860165,0.6258810262193403,3930.4516492810826,-0.19506625317169377,-0.6971570654814617,29.32055257964477,37.3593335881523,-89.03320655035247,37.3210921495063,-89.62747884372348,37.2151242510578,-88.98015291621992,523582.0,184975.0,522525.0,USA -> USACVL,0.002296732385027403
2016-12-19,USA,USACVL,6657,1314,6.198437734715338,1408.2792549196336,1398.4943668319063,1454.7345651194232,0.10740573832056483,0.7859396124380351,5019.642181162686,-0.32935256121376044,-2.2465659367903554,27.55595613639778,38.00038417731022,-93.2940070754321,37.85639613223132,-94.50921897926372,38.228010557475606,-93.98836340450764,1511181.0,375022.0,1502316.0,USA -> USACVL,0.004250317321272145
2016-12-26,USA,USACVL,1803,649,8.55185801442041,2171.504159733777,1929.0870770937327,2184.85690515807,0.20854132002218526,0.6084303937881309,4289.176372712146,-0.7207432057681644,-1.6885711123233604,32.66777592900721,36.699935189309606,-88.39177867483276,37.94208240534522,-97.00708710133628,37.50006102449892,-95.34607728285062,279125.0,83484.0,279081.0,USA -> USACVL,0.0014785378302313835
2017-01-02,USA,USACVL,2746,935,6.031682447195921,1513.1718863801893,1500.3179169701384,1521.0415149308085,0.12053896576839039,0.7727603787327021,3559.9005826656958,0.19126001456664427,-2.4391272854076314,31.289147851420246,37.86761091840468,-94.84281134248067,37.98252847420417,-94.93147643395524,37.62222902305159,-94.75607370142687,249390.0,79111.0,241948.0,USA -> USACVL,0.0020696474816022962
